frame_index,timestamp_us,session_time_us
0,1781148777701133,2650
1,1781148777724693,26210
2,1781148777737206,38723
3,1781148777753637,55154
4,1781148777769151,70668
5,1781148777785634,87151
6,1781148777804265,105782
7,1781148777823788,125305
8,1781148777835688,137205
9,1781148777851971,153488
10,1781148777869028,170545
11,1781148777938891,240408
12,1781148778348439,649956
13,1781148778710652,1012169
14,1781148778745911,1047428
15,1781148778774843,1076360
16,1781148778790851,1092368
17,1781148778810017,1111534
18,1781148778838909,1140426
19,1781148778886487,1188004
20,1781148778910962,1212479
21,1781148778978367,1279884
22,1781148778981834,1283351
23,1781148779043366,1344883
24,1781148779051613,1353130
25,1781148779094180,1395697
26,1781148779116727,1418244
27,1781148779145836,1447353
28,1781148779194719,1496236
29,1781148779233970,1535487
30,1781148779293913,1595430
31,1781148779356952,1658469
32,1781148779526680,1828197
33,1781148780159672,2461189
34,1781148780196336,2497853
35,1781148780222544,2524061
36,1781148780247339,2548856
37,1781148780296073,2597590
38,1781148780315955,2617472
39,1781148780392774,2694291
40,1781148780433671,2735188
41,1781148780455059,2756576
42,1781148780472742,2774259
43,1781148780495365,2796882
44,1781148780509494,2811011
45,1781148780529911,2831428
46,1781148780541328,2842845
47,1781148780561620,2863137
48,1781148780574426,2875943
49,1781148780578192,2879709
50,1781148780599385,2900902
51,1781148780609337,2910854
52,1781148780631578,2933095
53,1781148780656757,2958274
54,1781148780706045,3007562
55,1781148780710304,3011821
56,1781148780713840,3015357
57,1781148780716658,3018175
58,1781148780740023,3041540
59,1781148780742673,3044190
60,1781148780758427,3059944
61,1781148780772644,3074161
62,1781148780788766,3090283
63,1781148780806569,3108086
64,1781148780813584,3115101
65,1781148780820036,3121553
66,1781148780823405,3124922
67,1781148780829074,3130591
68,1781148780837407,3138924
69,1781148780839999,3141516
70,1781148780843135,3144652
71,1781148780845371,3146888
72,1781148780847239,3148756
73,1781148780866422,3167939
74,1781148780871850,3173367
75,1781148780887075,3188592
76,1781148780901225,3202742
77,1781148780919865,3221382
78,1781148780930846,3232363
79,1781148780952714,3254231
80,1781148780966544,3268061
81,1781148780986333,3287850
82,1781148780999696,3301213
83,1781148781017862,3319379
84,1781148781035911,3337428
85,1781148781053048,3354565
86,1781148781067118,3368635
87,1781148781080095,3381612
88,1781148781100960,3402477
89,1781148781118546,3420063
90,1781148781133681,3435198
91,1781148781152311,3453828
92,1781148781167070,3468587
93,1781148781185946,3487463
94,1781148781200362,3501879
95,1781148781216603,3518120
96,1781148781234331,3535848
97,1781148781249802,3551319
98,1781148781268379,3569896
99,1781148781283791,3585308
100,1781148781302968,3604485
101,1781148781318672,3620189
102,1781148781333145,3634662
103,1781148781352124,3653641
104,1781148781367922,3669439
105,1781148781385252,3686769
106,1781148781402041,3703558
107,1781148781416460,3717977
108,1781148781431947,3733464
109,1781148781449463,3750980
110,1781148781467237,3768754
111,1781148781483333,3784850
112,1781148781499520,3801037
113,1781148781519792,3821309
114,1781148781534605,3836122
115,1781148781551883,3853400
116,1781148781569063,3870580
117,1781148781590569,3892086
118,1781148781599968,3901485
119,1781148781616274,3917791
120,1781148781632345,3933862
121,1781148781647750,3949267
122,1781148781664507,3966024
123,1781148781683031,3984548
124,1781148781698177,3999694
125,1781148781718329,4019846
126,1781148781733937,4035454
127,1781148781751458,4052975
128,1781148781767682,4069199
129,1781148781784327,4085844
130,1781148781800542,4102059
131,1781148781818729,4120246
132,1781148781834270,4135787
133,1781148781854751,4156268
134,1781148781868303,4169820
135,1781148781885572,4187089
136,1781148781903164,4204681
137,1781148781918594,4220111
138,1781148781937092,4238609
139,1781148781950605,4252122
140,1781148781965350,4266867
141,1781148781983313,4284830
142,1781148781999843,4301360
143,1781148782015958,4317475
144,1781148782032207,4333724
145,1781148782051116,4352633
146,1781148782067188,4368705
147,1781148782084805,4386322
148,1781148782098067,4399584
149,1781148782118026,4419543
150,1781148782133358,4434875
151,1781148782148500,4450017
152,1781148782164888,4466405
153,1781148782183547,4485064
154,1781148782202564,4504081
155,1781148782218932,4520449
156,1781148782231935,4533452
157,1781148782248985,4550502
158,1781148782265711,4567228
159,1781148782283529,4585046
160,1781148782299171,4600688
161,1781148782313620,4615137
162,1781148782335284,4636801
163,1781148782349470,4650987
164,1781148782367068,4668585
165,1781148782384612,4686129
166,1781148782398665,4700182
167,1781148782417430,4718947
168,1781148782431735,4733252
169,1781148782448670,4750187
170,1781148782466147,4767664
171,1781148782483853,4785370
172,1781148782500392,4801909
173,1781148782515286,4816803
174,1781148782532405,4833922
175,1781148782550606,4852123
176,1781148782566619,4868136
177,1781148782582003,4883520
178,1781148782598648,4900165
179,1781148782616905,4918422
180,1781148782634278,4935795
181,1781148782650477,4951994
182,1781148782667329,4968846
183,1781148782682755,4984272
184,1781148782700057,5001574
185,1781148782719081,5020598
186,1781148782734098,5035615
187,1781148782753384,5054901
188,1781148782771818,5073335
189,1781148782790196,5091713
190,1781148782807681,5109198
191,1781148782817231,5118748
192,1781148782834243,5135760
193,1781148782851558,5153075
194,1781148782867122,5168639
195,1781148782883133,5184650
196,1781148782899427,5200944
197,1781148782917645,5219162
198,1781148782934860,5236377
199,1781148782950444,5251961
200,1781148782965945,5267462
201,1781148782988075,5289592
202,1781148783000175,5301692
203,1781148783016245,5317762
204,1781148783028381,5329898
205,1781148783048486,5350003
206,1781148783068060,5369577
207,1781148783083001,5384518
208,1781148783100722,5402239
209,1781148783117523,5419040
210,1781148783134636,5436153
211,1781148783149664,5451181
212,1781148783165889,5467406
213,1781148783184068,5485585
214,1781148783198289,5499806
215,1781148783215255,5516772
216,1781148783232141,5533658
217,1781148783249645,5551162
218,1781148783267582,5569099
219,1781148783291924,5593441
220,1781148783301390,5602907
221,1781148783315840,5617357
222,1781148783330920,5632437
223,1781148783351607,5653124
224,1781148783365980,5667497
225,1781148783386952,5688469
226,1781148783400530,5702047
227,1781148783416576,5718093
228,1781148783432447,5733964
229,1781148783449026,5750543
230,1781148783466460,5767977
231,1781148783482177,5783694
232,1781148783499380,5800897
233,1781148783514779,5816296
234,1781148783535021,5836538
235,1781148783547983,5849500
236,1781148783566712,5868229
237,1781148783583111,5884628
238,1781148783598416,5899933
239,1781148783616495,5918012
240,1781148783631319,5932836
241,1781148783648092,5949609
242,1781148783665311,5966828
243,1781148783681377,5982894
244,1781148783698463,5999980
245,1781148783715117,6016634
246,1781148783732156,6033673
247,1781148783750480,6051997
248,1781148783770258,6071775
249,1781148783782560,6084077
250,1781148783799627,6101144
251,1781148783815019,6116536
252,1781148783839218,6140735
253,1781148783848006,6149523
254,1781148783870459,6171976
255,1781148783882201,6183718
256,1781148783898904,6200421
257,1781148783916995,6218512
258,1781148783931422,6232939
259,1781148783950911,6252428
260,1781148783969929,6271446
261,1781148783982680,6284197
262,1781148784001010,6302527
263,1781148784014229,6315746
264,1781148784034583,6336100
265,1781148784048112,6349629
266,1781148784067738,6369255
267,1781148784083708,6385225
268,1781148784097960,6399477
269,1781148784117640,6419157
270,1781148784132784,6434301
271,1781148784151768,6453285
272,1781148784167508,6469025
273,1781148784183284,6484801
274,1781148784199088,6500605
275,1781148784219288,6520805
276,1781148784234851,6536368
277,1781148784248772,6550289
278,1781148784267340,6568857
279,1781148784283524,6585041
280,1781148784303653,6605170
281,1781148784319770,6621287
282,1781148784333561,6635078
283,1781148784345803,6647320
284,1781148784372478,6673995
285,1781148784385234,6686751
286,1781148784398431,6699948
287,1781148784417724,6719241
288,1781148784432902,6734419
289,1781148784454549,6756066
290,1781148784470215,6771732
291,1781148784478541,6780058
292,1781148784501138,6802655
293,1781148784517971,6819488
294,1781148784534619,6836136
295,1781148784550876,6852393
296,1781148784569043,6870560
