timestamp_us,session_time_us,slot,position,button1,button2
1781092735470924,4699,left,0.013740,0,0
1781092735495017,28792,left,0.013740,0,0
1781092735512856,46631,left,0.013525,0,0
1781092735530793,64568,left,0.013525,0,0
1781092735554853,88628,left,0.013740,0,0
1781092735572874,106649,left,0.013740,0,0
1781092735591147,124922,left,0.013525,0,0
1781092735614827,148602,left,0.013740,0,0
1781092735632930,166705,left,0.013740,0,0
1781092735657147,190922,left,0.013740,0,0
1781092735674852,208627,left,0.013525,0,0
1781092735692811,226586,left,0.013740,0,0
1781092735716813,250588,left,0.013740,0,0
1781092735734811,268586,left,0.013525,0,0
1781092735752770,286545,left,0.013740,0,0
1781092735776798,310573,left,0.013740,0,0
1781092735794795,328570,left,0.013740,0,0
1781092735812886,346661,left,0.013740,0,0
1781092735836937,370712,left,0.013740,0,0
1781092735854822,388597,left,0.013525,0,0
1781092735878871,412646,left,0.013740,0,0
1781092735897061,430836,left,0.013740,0,0
1781092735914776,448551,left,0.013740,0,0
1781092735939226,473001,left,0.013525,0,0
1781092735957460,491235,left,0.013740,0,0
1781092735974800,508575,left,0.013740,0,0
1781092735998772,532547,left,0.013740,0,0
1781092736016846,550621,left,0.013740,0,0
1781092736034781,568556,left,0.013740,0,0
1781092736058856,592631,left,0.013740,0,0
1781092736076764,610539,left,0.013740,0,0
1781092736100738,634513,left,0.013525,0,0
1781092736119159,652934,left,0.013740,0,0
1781092736136866,670641,left,0.013525,0,0
1781092736160797,694572,left,0.013525,0,0
1781092736178738,712513,left,0.013740,0,0
1781092736196896,730671,left,0.013740,0,0
1781092736220791,754566,left,0.013740,0,0
1781092736238835,772610,left,0.013525,0,0
1781092736257141,790916,left,0.013740,0,0
1781092736280859,814634,left,0.013740,0,0
1781092736298754,832529,left,0.013525,0,0
1781092736316826,850601,left,0.013740,0,0
1781092736340742,874517,left,0.013740,0,0
1781092736359645,893420,left,0.013740,0,0
1781092736382820,916595,left,0.013740,0,0
1781092736401603,935378,left,0.013740,0,0
1781092736418770,952545,left,0.013740,0,0
1781092736442838,976613,left,0.013525,0,0
1781092736461678,995453,left,0.013525,0,0
1781092736478762,1012537,left,0.013740,0,0
1781092736502776,1036551,left,0.013740,0,0
1781092736520776,1054551,left,0.013740,0,0
1781092736539146,1072921,left,0.013740,0,0
1781092736563534,1097309,left,0.013740,0,0
1781092736580761,1114536,left,0.013740,0,0
1781092736604819,1138594,left,0.013740,0,0
1781092736622783,1156558,left,0.013740,0,0
1781092736640752,1174527,left,0.013740,0,0
1781092736665283,1199058,left,0.013954,0,0
1781092736682730,1216505,left,0.013525,0,0
1781092736700790,1234565,left,0.013954,0,0
1781092736725478,1259253,left,0.013740,0,0
1781092736742921,1276696,left,0.013525,0,0
1781092736760769,1294544,left,0.013525,0,0
1781092736784753,1318528,left,0.013740,0,0
1781092736802826,1336601,left,0.013740,0,0
1781092736826751,1360526,left,0.013740,0,0
1781092736844796,1378571,left,0.013740,0,0
1781092736862785,1396560,left,0.013740,0,0
1781092736886824,1420599,left,0.013525,0,0
1781092736904998,1438773,left,0.013740,0,0
1781092736923004,1456779,left,0.013525,0,0
1781092736946805,1480580,left,0.013740,0,0
1781092736964916,1498691,left,0.013740,0,0
1781092736983040,1516815,left,0.013525,0,0
1781092737006792,1540567,left,0.013525,0,0
1781092737024745,1558520,left,0.013740,0,0
1781092737048798,1582573,left,0.013740,0,0
1781092737066766,1600541,left,0.013740,0,0
1781092737084724,1618499,left,0.013740,0,0
1781092737108774,1642549,left,0.013525,0,0
1781092737126768,1660543,left,0.013740,0,0
1781092737144758,1678533,left,0.013740,0,0
1781092737168818,1702593,left,0.013740,0,0
1781092737186893,1720668,left,0.013740,0,0
1781092737205219,1738994,left,0.013740,0,0
1781092737229045,1762820,left,0.013525,0,0
1781092737246772,1780547,left,0.013740,0,0
1781092737270785,1804560,left,0.013740,0,0
1781092737288752,1822527,left,0.013954,0,0
1781092737306748,1840523,left,0.013740,0,0
1781092737330728,1864503,left,0.013740,0,0
1781092737348833,1882608,left,0.013740,0,0
1781092737366738,1900513,left,0.013740,0,0
1781092737390877,1924652,left,0.013525,0,0
1781092737408805,1942580,left,0.013954,0,0
1781092737426928,1960703,left,0.013740,0,0
1781092737450734,1984509,left,0.013525,0,0
1781092737468847,2002622,left,0.013740,0,0
1781092737486727,2020502,left,0.013525,0,0
1781092737510782,2044557,left,0.013525,0,0
1781092737528820,2062595,left,0.013525,0,0
1781092737552798,2086573,left,0.013740,0,0
1781092737570726,2104501,left,0.013740,0,0
1781092737588806,2122581,left,0.013740,0,0
1781092737612724,2146499,left,0.013525,0,0
1781092737630808,2164583,left,0.013740,0,0
1781092737648822,2182597,left,0.013525,0,0
1781092737672770,2206545,left,0.013740,0,0
1781092737690809,2224584,left,0.013740,0,0
1781092737714782,2248557,left,0.013740,0,0
1781092737733251,2267026,left,0.013525,0,0
1781092737750774,2284549,left,0.013740,0,0
1781092737774741,2308516,left,0.013525,0,0
1781092737792822,2326597,left,0.013740,0,0
1781092737810738,2344513,left,0.013740,0,0
1781092737834766,2368541,left,0.013740,0,0
1781092737852866,2386641,left,0.013740,0,0
1781092737870744,2404519,left,0.013740,0,0
1781092737894761,2428536,left,0.013740,0,0
1781092737912766,2446541,left,0.013740,0,0
1781092737930718,2464493,left,0.013525,0,0
1781092737954809,2488584,left,0.013740,0,0
1781092737972716,2506491,left,0.013525,0,0
1781092737996950,2530725,left,0.013740,0,0
1781092738014873,2548648,left,0.013525,0,0
1781092738033452,2567227,left,0.013954,0,0
1781092738056949,2590724,left,0.013740,0,0
1781092738074791,2608566,left,0.013954,0,0
1781092738092739,2626514,left,0.013740,0,0
1781092738116743,2650518,left,0.013525,0,0
1781092738134881,2668656,left,0.013525,0,0
1781092738152783,2686558,left,0.013740,0,0
1781092738176813,2710588,left,0.013740,0,0
1781092738194887,2728662,left,0.013740,0,0
1781092738218757,2752532,left,0.013740,0,0
1781092738236775,2770550,left,0.013525,0,0
