timestamp_us,session_time_us,slot,position,button1,button2
1781148777704105,5622,left,0.004079,0,0
1781148777728173,29690,left,0.004079,0,0
1781148777746282,47799,left,0.004079,0,0
1781148777770130,71647,left,0.004294,0,0
1781148777788199,89716,left,0.004294,0,0
1781148777812107,113624,left,0.004079,0,0
1781148777830195,131712,left,0.004294,0,0
1781148777848586,150103,left,0.004508,0,0
1781148777872176,173693,left,0.004294,0,0
1781148777890076,191593,left,0.004079,0,0
1781148777962128,263645,left,0.004508,0,0
1781148778040217,341734,left,0.004079,0,0
1781148778136130,437647,left,0.004079,0,0
1781148778160064,461581,left,0.004079,0,0
1781148778184125,485642,left,0.004079,0,0
1781148778352098,653615,left,0.004079,0,0
1781148778484194,785711,left,0.004079,0,0
1781148778544122,845639,left,0.004079,0,0
1781148778568164,869681,left,0.004079,0,0
1781148778586391,887908,left,0.004294,0,0
1781148778610120,911637,left,0.004079,0,0
1781148778634208,935725,left,0.004294,0,0
1781148778652154,953671,left,0.004079,0,0
1781148778682167,983684,left,0.004079,0,0
1781148778700143,1001660,left,0.004294,0,0
1781148778718178,1019695,left,0.004079,0,0
1781148778748298,1049815,left,0.004294,0,0
1781148778778117,1079634,left,0.003864,0,0
1781148778802098,1103615,left,0.004079,0,0
1781148778820098,1121615,left,0.004079,0,0
1781148778856187,1157704,left,0.004079,0,0
1781148778880569,1182086,left,0.004294,0,0
1781148778904018,1205535,left,0.004079,0,0
1781148778928125,1229642,left,0.004294,0,0
1781148778952193,1253710,left,0.004508,0,0
1781148778976117,1277634,left,0.004294,0,0
1781148779000121,1301638,left,0.004294,0,0
1781148779018804,1320321,left,0.003864,0,0
1781148779048445,1349962,left,0.004079,0,0
1781148779072430,1373947,left,0.004079,0,0
1781148779096177,1397694,left,0.004294,0,0
1781148779121063,1422580,left,0.004079,0,0
1781148779144126,1445643,left,0.004294,0,0
1781148779168611,1470128,left,0.004079,0,0
1781148779198099,1499616,left,0.004294,0,0
1781148779228096,1529613,left,0.004079,0,0
1781148779252189,1553706,left,0.004294,0,0
1781148779276140,1577657,left,0.003864,0,0
1781148779300232,1601749,left,0.004079,0,0
1781148779324177,1625694,left,0.004079,0,0
1781148779361840,1663357,left,0.004079,0,0
1781148779390107,1691624,left,0.004079,0,0
1781148779438079,1739596,left,0.004079,0,0
1781148779468149,1769666,left,0.004079,0,0
1781148779498435,1799952,left,0.004079,0,0
1781148779540251,1841768,left,0.004294,0,0
1781148779648617,1950134,left,0.004079,0,0
1781148779708151,2009668,left,0.004294,0,0
1781148779763136,2064653,left,0.004079,0,0
1781148779810147,2111664,left,0.004079,0,0
1781148779870042,2171559,left,0.004294,0,0
1781148779894165,2195682,left,0.004723,0,0
1781148779918079,2219596,left,0.004294,0,0
1781148779960156,2261673,left,0.004079,0,0
1781148780008084,2309601,left,0.004079,0,0
1781148780050150,2351667,left,0.004079,0,0
1781148780104075,2405592,left,0.004079,0,0
1781148780146779,2448296,left,0.004079,0,0
1781148780170547,2472064,left,0.004079,0,0
1781148780203872,2505389,left,0.004079,0,0
1781148780230361,2531878,left,0.004079,0,0
1781148780266194,2567711,left,0.004294,0,0
1781148780290078,2591595,left,0.004294,0,0
1781148780314417,2615934,left,0.004079,0,0
1781148780338081,2639598,left,0.004079,0,0
1781148780356069,2657586,left,0.004294,0,0
1781148780386067,2687584,left,0.004294,0,0
1781148780404146,2705663,left,0.004079,0,0
1781148780434124,2735641,left,0.003864,0,0
1781148780458229,2759746,left,0.004079,0,0
1781148780482072,2783589,left,0.004079,0,0
1781148780500846,2802363,left,0.004079,0,0
1781148780524031,2825548,left,0.004079,0,0
1781148780542590,2844107,left,0.004508,0,0
1781148780572036,2873553,left,0.004079,0,0
1781148780590121,2891638,left,0.004079,0,0
1781148780614213,2915730,left,0.004508,0,0
1781148780638049,2939566,left,0.004294,0,0
1781148780668102,2969619,left,0.004294,0,0
1781148780692437,2993954,left,0.004294,0,0
1781148780716164,3017681,left,0.004079,0,0
1781148780734853,3036370,left,0.004079,0,0
1781148780754958,3056475,left,0.004079,0,0
1781148780776068,3077585,left,0.004294,0,0
1781148780800060,3101577,left,0.004079,0,0
1781148780818053,3119570,left,0.004079,0,0
1781148780842181,3143698,left,0.004294,0,0
1781148780866170,3167687,left,0.004294,0,0
1781148780890182,3191699,left,0.004294,0,0
1781148780914430,3215947,left,0.003864,0,0
1781148780938019,3239536,left,0.004294,0,0
1781148780956863,3258380,left,0.003864,0,0
1781148780974138,3275655,left,0.004079,0,0
1781148781004254,3305771,left,0.004294,0,0
1781148781023935,3325452,left,0.003864,0,0
1781148781046016,3347533,left,0.004294,0,0
1781148781064136,3365653,left,0.004294,0,0
1781148781088151,3389668,left,0.004294,0,0
1781148781106046,3407563,left,0.004079,0,0
1781148781130168,3431685,left,0.004079,0,0
1781148781148344,3449861,left,0.004079,0,0
1781148781172913,3474430,left,0.004294,0,0
1781148781190063,3491580,left,0.004294,0,0
1781148781214072,3515589,left,0.004294,0,0
1781148781232110,3533627,left,0.004079,0,0
1781148781256097,3557614,left,0.004079,0,0
1781148781274333,3575850,left,0.004079,0,0
1781148781298325,3599842,left,0.004079,0,0
1781148781316868,3618385,left,0.004294,0,0
1781148781339950,3641467,left,0.004079,0,0
1781148781364162,3665679,left,0.004079,0,0
1781148781382181,3683698,left,0.004079,0,0
1781148781406178,3707695,left,0.004294,0,0
1781148781425871,3727388,left,0.004294,0,0
1781148781448139,3749656,left,0.004079,0,0
1781148781466538,3768055,left,0.004294,0,0
1781148781484088,3785605,left,0.004079,0,0
1781148781508160,3809677,left,0.004079,0,0
1781148781526061,3827578,left,0.004508,0,0
1781148781544095,3845612,left,0.004294,0,0
1781148781568217,3869734,left,0.004079,0,0
1781148781587411,3888928,left,0.004294,0,0
1781148781610118,3911635,left,0.004294,0,0
1781148781634209,3935726,left,0.004294,0,0
1781148781653907,3955424,left,0.004508,0,0
1781148781676063,3977580,left,0.004079,0,0
1781148781694698,3996215,left,0.004079,0,0
1781148781717960,4019477,left,0.004294,0,0
1781148781741980,4043497,left,0.004294,0,0
1781148781760269,4061786,left,0.004294,0,0
1781148781777993,4079510,left,0.004079,0,0
1781148781802084,4103601,left,0.004079,0,0
1781148781820126,4121643,left,0.004079,0,0
1781148781844560,4146077,left,0.004294,0,0
1781148781868313,4169830,left,0.004294,0,0
1781148781886131,4187648,left,0.004294,0,0
1781148781904902,4206419,left,0.004079,0,0
1781148781928160,4229677,left,0.004294,0,0
1781148781946215,4247732,left,0.004079,0,0
1781148781970250,4271767,left,0.004294,0,0
1781148781988204,4289721,left,0.004294,0,0
1781148782006072,4307589,left,0.004294,0,0
1781148782030471,4331988,left,0.004079,0,0
1781148782048603,4350120,left,0.004294,0,0
1781148782072028,4373545,left,0.004079,0,0
1781148782090898,4392415,left,0.004079,0,0
1781148782114099,4415616,left,0.004079,0,0
1781148782132133,4433650,left,0.004079,0,0
1781148782151465,4452982,left,0.004508,0,0
1781148782173964,4475481,left,0.004294,0,0
1781148782192997,4494514,left,0.004294,0,0
1781148782216132,4517649,left,0.004079,0,0
1781148782234108,4535625,left,0.004079,0,0
1781148782251993,4553510,left,0.004294,0,0
1781148782276048,4577565,left,0.004294,0,0
1781148782294122,4595639,left,0.004079,0,0
1781148782318047,4619564,left,0.004294,0,0
1781148782336129,4637646,left,0.004294,0,0
1781148782354129,4655646,left,0.004079,0,0
1781148782378326,4679843,left,0.004079,0,0
1781148782396127,4697644,left,0.004294,0,0
1781148782420068,4721585,left,0.004294,0,0
1781148782437942,4739459,left,0.004294,0,0
1781148782455995,4757512,left,0.004294,0,0
1781148782480024,4781541,left,0.004294,0,0
1781148782498205,4799722,left,0.004079,0,0
1781148782522211,4823728,left,0.004294,0,0
1781148782539981,4841498,left,0.004079,0,0
1781148782564105,4865622,left,0.004294,0,0
1781148782582116,4883633,left,0.004079,0,0
1781148782600053,4901570,left,0.004508,0,0
1781148782623969,4925486,left,0.004079,0,0
1781148782648590,4950107,left,0.004294,0,0
1781148782666092,4967609,left,0.004294,0,0
1781148782684611,4986128,left,0.004079,0,0
1781148782708060,5009577,left,0.004294,0,0
1781148782728111,5029628,left,0.004294,0,0
1781148782744136,5045653,left,0.004079,0,0
1781148782768432,5069949,left,0.004294,0,0
1781148782786203,5087720,left,0.004079,0,0
