timestamp_us,session_time_us,slot,position,button1,button2
1781144546473767,0,left,0.022756,0,0
1781144546497845,19379,left,0.022756,0,0
1781144546515707,37241,left,0.022542,0,0
1781144546539710,61244,left,0.022756,0,0
1781144546557775,79309,left,0.022756,0,0
1781144546575764,97298,left,0.022971,0,0
1781144546599726,121260,left,0.022971,0,0
1781144546617718,139252,left,0.022542,0,0
1781144546641802,163336,left,0.022542,0,0
1781144546659869,181403,left,0.022756,0,0
1781144546677736,199270,left,0.022542,0,0
1781144546702389,223923,left,0.022542,0,0
1781144546719922,241456,left,0.022756,0,0
1781144546737813,259347,left,0.022756,0,0
1781144546761790,283324,left,0.022971,0,0
1781144546779767,301301,left,0.022756,0,0
1781144546803788,325322,left,0.022756,0,0
1781144546821846,343380,left,0.022542,0,0
1781144546839928,361462,left,0.022756,0,0
1781144546863763,385297,left,0.022542,0,0
1781144546881766,403300,left,0.022756,0,0
1781144546899695,421229,left,0.023186,0,0
1781144546923756,445290,left,0.022971,0,0
1781144546941726,463260,left,0.022542,0,0
1781144546965752,487286,left,0.022756,0,0
1781144546983754,505288,left,0.022542,0,0
1781144547001876,523410,left,0.022756,0,0
1781144547025738,547272,left,0.022971,0,0
1781144547043759,565293,left,0.022542,0,0
1781144547062227,583761,left,0.022542,0,0
1781144547085724,607258,left,0.022756,0,0
1781144547103782,625316,left,0.022971,0,0
1781144547121889,643423,left,0.022542,0,0
1781144547145727,667261,left,0.022971,0,0
1781144547163675,685209,left,0.022756,0,0
1781144547187704,709238,left,0.022542,0,0
1781144547205860,727394,left,0.022542,0,0
1781144547223805,745339,left,0.022542,0,0
1781144547247745,769279,left,0.022756,0,0
1781144547265776,787310,left,0.022542,0,0
1781144547283796,805330,left,0.022542,0,0
1781144547307687,829221,left,0.022971,0,0
1781144547325725,847259,left,0.022542,0,0
1781144547343803,865337,left,0.022756,0,0
1781144547367687,889221,left,0.022971,0,0
1781144547385669,907203,left,0.022542,0,0
1781144547403673,925207,left,0.022756,0,0
1781144547427730,949264,left,0.022756,0,0
1781144547445736,967270,left,0.022756,0,0
1781144547463701,985235,left,0.022756,0,0
1781144547487737,1009271,left,0.022971,0,0
1781144547505649,1027183,left,0.022756,0,0
1781144547529658,1051192,left,0.022542,0,0
1781144547547652,1069186,left,0.022542,0,0
1781144547565669,1087203,left,0.022542,0,0
1781144547589706,1111240,left,0.022756,0,0
1781144547607663,1129197,left,0.022542,0,0
1781144547625727,1147261,left,0.022756,0,0
1781144547649711,1171245,left,0.022971,0,0
1781144547668087,1189621,left,0.022542,0,0
1781144547685613,1207147,left,0.022542,0,0
1781144547709640,1231174,left,0.022971,0,0
1781144547727690,1249224,left,0.022971,0,0
1781144547751656,1273190,left,0.022542,0,0
1781144547769648,1291182,left,0.022756,0,0
1781144547787755,1309289,left,0.022756,0,0
1781144547811663,1333197,left,0.022542,0,0
1781144547829753,1351287,left,0.022756,0,0
1781144547847631,1369165,left,0.022542,0,0
1781144547871898,1393432,left,0.022756,0,0
1781144547889644,1411178,left,0.022756,0,0
1781144547907636,1429170,left,0.022756,0,0
1781144547931627,1453161,left,0.022756,0,0
1781144547949614,1471148,left,0.022971,0,0
1781144547973733,1495267,left,0.022756,0,0
1781144547991625,1513159,left,0.022756,0,0
1781144548009644,1531178,left,0.022971,0,0
1781144548033689,1555223,left,0.022542,0,0
1781144548051600,1573134,left,0.022756,0,0
1781144548069671,1591205,left,0.022542,0,0
1781144548093757,1615291,left,0.022756,0,0
1781144548111812,1633346,left,0.022971,0,0
1781144548129744,1651278,left,0.022971,0,0
1781144548153939,1675473,left,0.022756,0,0
1781144548171627,1693161,left,0.022756,0,0
1781144548195603,1717137,left,0.022756,0,0
1781144548213646,1735180,left,0.022542,0,0
1781144548231601,1753135,left,0.022542,0,0
1781144548255673,1777207,left,0.022756,0,0
1781144548273676,1795210,left,0.022756,0,0
1781144548291613,1813147,left,0.022971,0,0
1781144548315690,1837224,left,0.022756,0,0
1781144548333606,1855140,left,0.022756,0,0
1781144548351621,1873155,left,0.022756,0,0
