timestamp_us,session_time_us,slot,position,button1,button2
1781144546479416,950,right,0.000000,0,0
1781144546497764,19298,right,0.000000,0,0
1781144546515232,36766,right,0.000000,0,0
1781144546539117,60651,right,0.000000,0,0
1781144546557215,78749,right,0.000000,0,0
1781144546581152,102686,right,0.000000,0,0
1781144546599140,120674,right,0.000000,0,0
1781144546617247,138781,right,0.000000,0,0
1781144546641147,162681,right,0.000000,0,0
1781144546659233,180767,right,0.000000,0,0
1781144546677203,198737,right,0.000000,0,0
1781144546701237,222771,right,0.000000,0,0
1781144546719120,240654,right,0.000000,0,0
1781144546737182,258716,right,0.000000,0,0
1781144546761101,282635,right,0.000000,0,0
1781144546779322,300856,right,0.000000,0,0
1781144546803212,324746,right,0.000000,0,0
1781144546821209,342743,right,0.000000,0,0
1781144546839127,360661,right,0.000000,0,0
1781144546863116,384650,right,0.000000,0,0
1781144546881181,402715,right,0.000000,0,0
1781144546905296,426830,right,0.000000,0,0
1781144546923145,444679,right,0.000000,0,0
1781144546941157,462691,right,0.000000,0,0
1781144546965167,486701,right,0.000000,0,0
1781144546983155,504689,right,0.000000,0,0
1781144547001181,522715,right,0.000000,0,0
1781144547025264,546798,right,0.000000,0,0
1781144547043245,564779,right,0.000000,0,0
1781144547061954,583488,right,0.000000,0,0
1781144547085549,607083,right,0.000000,0,0
1781144547103348,624882,right,0.000000,0,0
1781144547127140,648674,right,0.000000,0,0
1781144547145113,666647,right,0.000000,0,0
1781144547163068,684602,right,0.000000,0,0
1781144547187064,708598,right,0.000000,0,0
1781144547205041,726575,right,0.000000,0,0
1781144547223126,744660,right,0.000000,0,0
1781144547247249,768783,right,0.000000,0,0
1781144547265091,786625,right,0.000000,0,0
1781144547283306,804840,right,0.000000,0,0
1781144547307149,828683,right,0.000000,0,0
1781144547325139,846673,right,0.000000,0,0
1781144547343078,864612,right,0.000000,0,0
1781144547367117,888651,right,0.000000,0,0
1781144547385199,906733,right,0.000000,0,0
1781144547409086,930620,right,0.000000,0,0
1781144547427208,948742,right,0.000000,0,0
1781144547445161,966695,right,0.000000,0,0
1781144547469720,991254,right,0.000000,0,0
1781144547487054,1008588,right,0.000000,0,0
1781144547505570,1027104,right,0.000000,0,0
1781144547529038,1050572,right,0.000000,0,0
1781144547547256,1068790,right,0.000000,0,0
1781144547565101,1086635,right,0.000000,0,0
1781144547589062,1110596,right,0.000000,0,0
1781144547607024,1128558,right,0.000000,0,0
1781144547625145,1146679,right,0.000000,0,0
1781144547649085,1170619,right,0.000000,0,0
1781144547667064,1188598,right,0.000000,0,0
1781144547691030,1212564,right,0.000000,0,0
1781144547709067,1230601,right,0.000000,0,0
1781144547727102,1248636,right,0.000000,0,0
1781144547751126,1272660,right,0.000000,0,0
1781144547769053,1290587,right,0.000000,0,0
