timestamp_us,session_time_us,slot,position,button1,button2
1781148795870962,19961,right,0.000000,1,0
1781148795887962,36961,right,0.000000,1,0
1781148795906379,55378,right,0.000000,1,0
1781148795923959,72958,right,0.000000,0,0
1781148795947807,96806,right,0.000000,0,0
1781148795971611,120610,right,0.000000,0,0
1781148795989578,138577,right,0.000000,0,0
1781148796013516,162515,right,0.000000,0,0
1781148796031514,180513,right,0.000000,0,0
1781148796049522,198521,right,0.000000,0,0
1781148796073888,222887,right,0.000000,0,0
1781148796091541,240540,right,0.000000,0,0
1781148796109547,258546,right,0.000000,0,0
1781148796133572,282571,right,0.000000,0,0
1781148796151608,300607,right,0.000000,0,0
1781148796169753,318752,right,0.000000,0,0
1781148796193540,342539,right,0.000000,0,0
1781148796211559,360558,right,0.000000,0,0
1781148796229458,378457,right,0.000000,0,0
1781148796253568,402567,right,0.000000,0,0
1781148796271549,420548,right,0.000000,0,0
1781148796295492,444491,right,0.000000,0,0
1781148796313918,462917,right,0.000000,0,0
1781148796331522,480521,right,0.000000,0,0
1781148796355709,504708,right,0.000000,0,0
1781148796373546,522545,right,0.000000,0,0
1781148796391468,540467,right,0.000000,0,0
1781148796415885,564884,right,0.000000,0,0
1781148796433503,582502,right,0.000000,0,0
1781148796451575,600574,right,0.000000,0,0
1781148796475518,624517,right,0.000000,0,0
1781148796493463,642462,right,0.000000,0,0
1781148796517506,666505,right,0.000000,0,0
1781148796535709,684708,right,0.000000,0,0
1781148796553551,702550,right,0.000000,0,0
1781148796577538,726537,right,0.000000,0,0
1781148796595512,744511,right,0.000000,0,0
1781148796613658,762657,right,0.000000,0,0
1781148796637695,786694,right,0.000000,0,0
1781148796655960,804959,right,0.000000,0,0
1781148796679486,828485,right,0.000000,0,0
1781148796697446,846445,right,0.000000,0,0
1781148796715571,864570,right,0.000000,0,0
1781148796739542,888541,right,0.000000,0,0
1781148796757936,906935,right,0.000000,0,0
1781148796775700,924699,right,0.000000,0,0
1781148796799542,948541,right,0.000000,0,0
1781148796817549,966548,right,0.000000,0,0
1781148796835591,984590,right,0.000000,0,0
1781148796859489,1008488,right,0.000000,0,0
1781148796877607,1026606,right,0.000000,0,0
1781148796901622,1050621,right,0.000000,0,0
1781148796919602,1068601,right,0.000000,0,0
1781148796937876,1086875,right,0.000000,0,0
1781148796961567,1110566,right,0.000000,0,0
1781148796980616,1129615,right,0.000000,0,0
1781148797003523,1152522,right,0.000000,0,0
1781148797022732,1171731,right,0.000000,0,0
1781148797039606,1188605,right,0.000000,0,0
1781148797063616,1212615,right,0.000000,0,0
1781148797081596,1230595,right,0.000000,0,0
1781148797105602,1254601,right,0.000000,0,0
1781148797123568,1272567,right,0.000000,0,0
1781148797141795,1290794,right,0.000000,0,0
1781148797165493,1314492,right,0.000000,0,0
1781148797184071,1333070,right,0.000000,0,0
1781148797207559,1356558,right,0.000000,0,0
1781148797225723,1374722,right,0.000000,0,0
1781148797243461,1392460,right,0.000000,0,0
1781148797267570,1416569,right,0.000000,0,0
1781148797286562,1435561,right,0.000000,0,0
1781148797303488,1452487,right,0.000000,0,0
1781148797327476,1476475,right,0.000000,0,0
1781148797345518,1494517,right,0.000000,0,0
